id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
15259,Women,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,ADIDAS Originals Women Top Ten low Sleek White Casual Shoes
25420,Men,Footwear,Shoes,Casual Shoes,Black,Spring,2013.0,Casual,Nike Men Lite Force Black & White Shoes
54739,Men,Footwear,Shoes,Casual Shoes,Grey,Summer,2012.0,Casual,Vans Men Grey Del Norte Canvas Shoes
6497,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018.0,Casual,Red Tape Men's Leather Brown Shoe
15502,Women,Footwear,Shoes,Casual Shoes,Brown,Fall,2011.0,Casual,Carlton London Women Casual Brown Casual Shoes
35465,Men,Footwear,Shoes,Casual Shoes,Blue,Fall,2012.0,Casual,Franco Leone Men Blue Shoes
26664,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012.0,Casual,Puma Men Metamostro Black Shoes
38544,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2012.0,Casual,Puma Men Black Suede Archive Eco Shoes
7041,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,Numero Uno Black Men's Shoe
36476,Men,Footwear,Shoes,Casual Shoes,Black,Spring,2013.0,Casual,Spinn Men Agile Black Shoes
35677,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2014.0,Casual,U.S. Polo Assn. Men Brown Leather Casual Shoes
17033,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2013.0,Casual,Gas Men Europa Casual Shoes
15512,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011.0,Casual,Rockport Men Slatkin Brown Casual Shoes
44746,Men,Footwear,Shoes,Casual Shoes,Olive,Summer,2012.0,Casual,Globalite Men Olive Sparta Shoes
25452,Men,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Nike Men Prowl White Casual Shoes
